"INV_CODE","Invoice_Date","Billed_Month","Service_Month","Payee","Firm_Code","BillingCode","Attributable","Description","Rate","Commission","Percentage","Status"
"RILY:42945","2017-07-31","2017-07-31","2017-07-31","Quincy","RILY","RILY","POTOMAC","MRC OMS & FIX Equitiies order routing fee [client POTOMAC]","250","62.50","25.00","Unpaid"
"RILY:42945","2017-07-31","2017-07-31","2017-07-31","Quincy","RILY","RILY","RILY","MRC FIX Dialectic Order Routing","150","37.50","25.00","Unpaid"
"RILY:42945","2017-07-31","2017-07-31","2017-07-31","Quincy","RILY","RILY","RILY","MRC FIX Doheny Order Routing","150","37.50","25.00","Unpaid"
"RILY:42945","2017-07-31","2017-07-31","2017-07-31","Quincy","RILY","RILY","RILY","MRC FIX Granite Capital Order Routing","150","37.50","25.00","Unpaid"
"RILY:42945","2017-07-31","2017-07-31","2017-07-31","Quincy","RILY","RILY","RILY","MRC FIX Manatuck Order Routing","150","37.50","25.00","Unpaid"
"BCMS:42977","2017-09-01","2017-08-31","2017-09-30","Quincy","BCMS","BCMS","CONVENTUS","Portfolio Management Base Fee Client [Conventus Capital LLC] ","2000","500.00","25.00","Unpaid"
"RILY:43037","2017-10-31","2017-10-31","2017-10-31","Quincy","RILY","RILY","RILY","MRC FIX Dialectic Order Routing","150","37.50","25.00","Unpaid"
"RILY:43067","2017-11-30","2017-11-30","2017-11-30","Quincy","RILY","RILY","RILY","MRC FIX Dialectic Order Routing","150","37.50","25.00","Unpaid"
"RILY:43098","2017-12-31","2017-12-31","2017-12-31","Quincy","RILY","RILY","RILY","MRC FIX Dialectic Order Routing","150","37.50","25.00","Unpaid"
"RILY:43129","2018-01-31","2018-01-31","2018-01-31","Quincy","RILY","RILY","RILY","MRC FIX Dialectic Order Routing","150","37.50","25.00","Unpaid"
"RILY:43157","2018-02-28","2018-02-28","2018-02-28","Quincy","RILY","RILY","RILY","MRC FIX Dialectic Order Routing","150","37.50","25.00","Unpaid"
"UBSW:43157","2018-02-28","2018-02-28","2018-02-28","Quincy","UBS2","UBSW","CONVENTUS","MRC risk platform & FIX Equities drop copy fee [client CONVENTUS]","300","75.00","25.00","Unpaid"
"GS:43188","2018-03-31","2018-03-31","2018-03-31","Quincy","GSCO","GS","CONVENTUS","MRC risk platform & FIX Equities drop copy fee [client CONVENTUS]","500","125.00","25.00","Unpaid"
"RILY:43188","2018-03-31","2018-03-31","2018-03-31","Quincy","RILY","RILY","RILY","MRC FIX Dialectic Order Routing","150","37.50","25.00","Unpaid"
"BCMS:43219","2018-05-01","2018-04-30","2018-05-31","Quincy","BCMS","BCMS","CONVENTUS","Portfolio Management Base Fee Client [Conventus Capital LLC] ","2000","500.00","25.00","Unpaid"
"BOOK:43218","2018-04-30","2018-04-30","2018-04-30","Quincy","BOOK","BOOK","CONVENTUS","MRC risk platform & non-US FIX Equities drop copy fee [client CONVENTUS]","500","125.00","25.00","Unpaid"
"BOOK:43218","2018-04-30","2018-04-30","2018-04-30","Quincy","BOOK","BOOK","CONVENTUS","MRC risk platform & US FIX Equities drop copy fee [client CONVENTUS]","500","125.00","25.00","Unpaid"
"NITE:43218","2018-04-30","2018-04-30","2018-04-30","Quincy","NITE2","NITE","POTOMAC","MRC OMS & FIX Equities order routing fee [client POTOMAC]","500","125.00","25.00","Unpaid"
"RILY:43218","2018-04-30","2018-04-30","2018-04-30","Quincy","RILY","RILY","POTOMAC","MRC OMS & FIX Equitiies order routing fee [client POTOMAC]","250","62.50","25.00","Unpaid"
"RILY:43218","2018-04-30","2018-04-30","2018-04-30","Quincy","RILY","RILY","RILY","MRC FIX Dialectic Order Routing","150","37.50","25.00","Unpaid"
"RILY:43218","2018-04-30","2018-04-30","2018-04-30","Quincy","RILY","RILY","RILY","MRC FIX Doheny Order Routing","150","37.50","25.00","Unpaid"
"RILY:43218","2018-04-30","2018-04-30","2018-04-30","Quincy","RILY","RILY","RILY","MRC FIX Granite Capital Order Routing","150","37.50","25.00","Unpaid"
"RILY:43218","2018-04-30","2018-04-30","2018-04-30","Quincy","RILY","RILY","RILY","MRC FIX Manatuck Order Routing","150","37.50","25.00","Unpaid"
"UBSW:43218","2018-04-30","2018-04-30","2018-04-30","Quincy","UBS2","UBSW","CONVENTUS","MRC risk platform & FIX Equities drop copy fee [client CONVENTUS]","300","75.00","25.00","Unpaid"
"WEED:43218","2018-04-30","2018-04-30","2018-04-30","Quincy","WEED","WEED","LINCOLN","MRC FIX: Lincoln Capital","500","125.00","25.00","Unpaid"
